"","Station","Time(Ent)","Forecast(Ent)","Validation(Ent)","Actual(Ent)","Time(Ext)","Forecast(Ext)","Validation(Ext)","Actual(Ext)","Time(Trf)","Forecast(Trf)","Validation(Trf)","Actual(Trf)"
"173","7 AV","2017-08-05 17:00:00",2363.21061918838,2347.3656772569,2134.5,"2017-08-05 17:00:00",1806.27735025321,1776.98930192742,1634.25,"2017-08-05 17:00:00",36.6975695016839,34.5096877707342,36.2379807692308
"174","7 AV","2017-08-05 21:00:00",2542.94349549055,3085.04674050746,2980.5,"2017-08-05 21:00:00",1977.41744563394,2382.97365432946,2495.5,"2017-08-05 21:00:00",42.2785620480647,48.5694832351497,52.6538461538462
"175","7 AV","2017-08-06 01:00:00",1239.33300255194,1387.81411004443,1007.75,"2017-08-06 01:00:00",812.091731276974,1056.81376593192,700.75,"2017-08-06 01:00:00",18.8943965632669,22.1146099971278,16.4278846153846
"176","7 AV","2017-08-06 05:00:00",640.805562624035,633.836064584917,86.5,"2017-08-06 05:00:00",505.049469069138,541.719792736955,88.5,"2017-08-06 05:00:00",9.43314173283589,10.4173442296311,1.68269230769231
"177","7 AV","2017-08-06 09:00:00",1449.51163615607,1784.57521814689,1421.5,"2017-08-06 09:00:00",1688.23325366798,1965.15650047459,1951.25,"2017-08-06 09:00:00",30.5388476517055,34.2315694851708,32.4302884615385
"178","7 AV","2017-08-06 13:00:00",1888.7777057516,1921.43189160627,1873.5,"2017-08-06 13:00:00",1828.50251252748,1904.49253270004,1982.25,"2017-08-06 13:00:00",33.3920977865287,35.0160820367491,37.0745192307692
"179","7 AV","2017-08-06 17:00:00",2186.5520682054,2050.16897802992,2383.75,"2017-08-06 17:00:00",1612.13078612217,1552.30223386708,1773.5,"2017-08-06 17:00:00",34.8003931966748,32.9540903969523,39.9735576923077
"180","7 AV","2017-08-06 21:00:00",2400.50608968626,2700.76752608498,2623,"2017-08-06 21:00:00",1882.27227680136,2158.83842430838,2092.25,"2017-08-06 21:00:00",39.4323996751919,44.5569592836307,45.3389423076923
"181","42 ST-PORT AUTH","2017-08-04 22:00:00",2209.07009566747,2352.99573834416,2137.75,"2017-08-04 22:00:00",1576.29474685994,1494.37951981656,1454,"2017-08-04 22:00:00",51.5567001360033,49.5855433031201,47.2598684210526
"182","42 ST-PORT AUTH","2017-08-05 02:00:00",1413.63426764613,1317.8186031622,1359.25,"2017-08-05 02:00:00",480.369234705683,505.878544141414,366.75,"2017-08-05 02:00:00",20.9512700812967,23.0935867047417,22.7105263157895
"183","42 ST-PORT AUTH","2017-08-05 06:00:00",174.241717319586,316.173852554393,185.75,"2017-08-05 06:00:00",192.949424053109,327.317766795437,180.25,"2017-08-05 06:00:00",5.848733669649,8.51571977236635,4.81578947368421
"184","42 ST-PORT AUTH","2017-08-05 10:00:00",995.873184732354,1015.60372226969,955.25,"2017-08-05 10:00:00",1641.47254719246,1653.34936722453,1673.75,"2017-08-05 10:00:00",33.0553637607525,35.3265272419871,34.5921052631579
"185","42 ST-PORT AUTH","2017-08-05 14:00:00",1124.91950383647,1104.99058515587,1301.25,"2017-08-05 14:00:00",1388.80754820738,1599.38693540965,1378.5,"2017-08-05 14:00:00",19.9631851094942,22.2388891448882,35.2598684210526
"186","42 ST-PORT AUTH","2017-08-05 18:00:00",2355.84961913981,2417.18310756817,NA,"2017-08-05 18:00:00",1779.07422705013,1706.06368106366,NA,"2017-08-05 18:00:00",52.9500616083696,53.3397471749731,NA
"187","42 ST-PORT AUTH","2017-08-05 22:00:00",2103.6726875026,2262.77392215801,NA,"2017-08-05 22:00:00",1365.56496071004,1476.85530140312,NA,"2017-08-05 22:00:00",47.6066760181213,48.4626219984556,NA
"188","42 ST-PORT AUTH","2017-08-06 02:00:00",1384.77160528764,1307.77572992325,NA,"2017-08-06 02:00:00",390.185105612452,603.066014012101,NA,"2017-08-06 02:00:00",17.7280379566552,24.3511216808122,NA
"189","42 ST-PORT AUTH","2017-08-06 06:00:00",296.096220307033,439.046371614098,52.75,"2017-08-06 06:00:00",134.379862657863,444.659316936012,44.75,"2017-08-06 06:00:00",5.01575251401763,10.9963584265103,0.320723684210526
"190","42 ST-PORT AUTH","2017-08-06 10:00:00",1015.02199704578,1052.86738765849,NA,"2017-08-06 10:00:00",1423.57355976257,1621.02227999966,NA,"2017-08-06 10:00:00",29.1889623526906,35.6361314003327,NA
"191","42 ST-PORT AUTH","2017-08-06 14:00:00",1164.46339935718,1150.12831259792,1148.75,"2017-08-06 14:00:00",1198.70029471279,1573.15056549752,1388.5,"2017-08-06 14:00:00",17.8407383968339,23.6139356937596,16.6924342105263
"192","42 ST-PORT AUTH","2017-08-06 18:00:00",2164.2366430726,2269.74357288024,2373.75,"2017-08-06 18:00:00",1546.03982595342,1667.78675107055,1827,"2017-08-06 18:00:00",47.7379250058163,52.1873492677214,55.2730263157895
"193","103 ST","2017-08-05 01:00:00",571.782167684829,524.031902052473,466.75,"2017-08-05 01:00:00",702.041596867226,776.676189426787,623.25,"2017-08-05 01:00:00",19.5186307870466,20.9820627014203,18.1666666666667
"194","103 ST","2017-08-05 05:00:00",253.572236844695,280.152009208299,47,"2017-08-05 05:00:00",249.447268930556,292.514162035591,101.75,"2017-08-05 05:00:00",6.16696611105759,7.38434964207482,2.47916666666667
"195","103 ST","2017-08-05 09:00:00",1551.29709780233,1820.77030713478,1769,"2017-08-05 09:00:00",733.574095841863,766.118158502689,770.5,"2017-08-05 09:00:00",36.7229940029449,37.0271920753424,42.325
"196","103 ST","2017-08-05 13:00:00",1635.96214828176,1729.65142590179,1786.25,"2017-08-05 13:00:00",874.238159808231,840.749830018233,883.75,"2017-08-05 13:00:00",41.9998740891455,42.4442766971481,44.5
