,Station,Time,Forecast(Entry/h),",Forecast(Exit/h)",Forecast(Traffic/h_turnstl)
213,34 ST-PENN STA,8/5/2017 10:00,3447.561264,1417.245827,62.83043708
214,34 ST-PENN STA,8/5/2017 14:00,1690.496602,1585.761467,43.07398294
215,34 ST-PENN STA,8/5/2017 18:00,2366.908424,3255.435274,69.08592213
216,34 ST-PENN STA,8/5/2017 22:00,1768.696447,1752.374383,44.87904693
217,34 ST-PENN STA,8/6/2017 2:00,640.8195201,705.2077376,23.86938341
218,34 ST-PENN STA,8/6/2017 6:00,435.9751506,500.8152742,17.26862502
219,34 ST-PENN STA,8/6/2017 10:00,2801.816691,1510.286456,61.06787337
220,34 ST-PENN STA,8/6/2017 14:00,1556.516351,1687.994388,45.27344074
221,34 ST-PENN STA,8/6/2017 18:00,2094.768066,3201.277292,66.48253125
222,34 ST-PENN STA,8/6/2017 22:00,1700.039732,1826.295633,46.6838992
223,34 ST-PENN STA,8/7/2017 2:00,899.2153824,745.2575617,25.52972358
224,34 ST-PENN STA,8/7/2017 6:00,791.0379506,556.8109097,20.41661438
225,34 ST-PENN STA,8/7/2017 10:00,2573.407346,1476.548667,57.00309778
226,34 ST-PENN STA,8/7/2017 14:00,1693.433622,1636.287189,44.0001246
227,34 ST-PENN STA,8/7/2017 18:00,2123.46029,3012.400437,61.62431533
228,34 ST-PENN STA,8/7/2017 22:00,1862.396006,1763.178555,45.14841077
229,34 ST-PENN STA,8/8/2017 2:00,1297.167703,778.4596383,27.01302586
230,34 ST-PENN STA,8/8/2017 6:00,1238.123623,607.0002429,22.86838912
231,34 ST-PENN STA,8/8/2017 10:00,2566.785023,1443.377438,53.6096827
232,34 ST-PENN STA,8/8/2017 14:00,1929.634592,1588.467991,42.75617367
233,34 ST-PENN STA,8/8/2017 18:00,2252.616055,2839.83333,57.52976381
234,34 ST-PENN STA,8/8/2017 22:00,2061.963341,1703.761099,43.70969259
235,34 ST-PENN STA,8/9/2017 2:00,1642.302728,806.7881049,28.24960336
236,34 ST-PENN STA,8/9/2017 6:00,1592.070643,650.8102254,24.81497296
237,34 ST-PENN STA,8/9/2017 10:00,2560.338431,1411.263629,50.71294892
238,34 ST-PENN STA,8/9/2017 14:00,2077.466581,1543.145564,41.59652435
239,34 ST-PENN STA,8/9/2017 18:00,2299.087488,2680.837529,54.02939713
240,34 ST-PENN STA,8/9/2017 22:00,2140.188177,1647.987075,42.39556042
241,34 ST-PENN STA,8/10/2017 2:00,1810.323875,830.6173085,29.24147787
242,34 ST-PENN STA,8/10/2017 6:00,1752.045617,688.8166569,26.36597211
243,34 ST-PENN STA,8/10/2017 10:00,2443.340458,1380.187121,48.20928503
244,34 ST-PENN STA,8/10/2017 14:00,2065.659622,1500.094101,40.53032272
